id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2623154,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623154,INC,133,701,2026,"Indica ao Poder Executivo Federal a adoção de medidas cautelares de suspensão preventiva de contratos, convênios, repasses e benefícios fiscais firmados com as 59 empresas investigadas pelo CADE por formação de cartel no mercado de trabalho, até o encerramento definitivo das investigações, nos termos que especifica.",2026-05-07T18:52
2623153,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623153,PL,139,2268,2026,"Dispõe sobre a vedação da utilização de dispositivos de bloqueio remoto de veículos automotores em razão de mora ou inadimplemento contratual, e dá outras providências.",2026-05-07T18:42
2623150,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623150,PL,139,2266,2026,"Altera a Lei nº 11.959, de 29 de junho de 2009, para incluir o incentivo à pesca esportiva entre as atividades incentivadas pelo Poder Público e dispor sobre ações de povoamento e repovoamento de organismos aquáticos.",2026-05-07T18:20
2623143,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623143,RIC,148,1229,2026,"Requer informações ao Ministro de Estado das Relações Exteriores sobre a repercussão diplomática do relatório do Comitê de Apropriações da Câmara dos Representantes dos Estados Unidos referente ao orçamento para o ano fiscal de 2027, que manifestou preocupação com a atuação de organismos internacionais em programas de cooperação médica no Brasil, com possíveis violações a normas internacionais de proteção ao trabalho e aos direitos humanos e a adoção de medidas restritivas no âmbito da política externa norte-americana.",2026-05-07T17:49
2623142,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623142,RIC,148,1228,2026,"Requer informações ao Ministro de Estado da Saúde sobre possíveis irregularidades em programas de cooperação médica internacional, relacionadas a denúncias de tráfico de pessoas, trabalho forçado e violação de direitos humanos.",2026-05-07T17:49
2623141,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623141,RIC,148,1227,2026,"Requer informações ao Ministro de Estado do Trabalho e Emprego sobre a conformidade de modelos de contratação de profissionais estrangeiros em programas de cooperação médica no Brasil, à luz de relatório do Comitê de Apropriações da Câmara dos Representantes dos Estados Unidos referente ao orçamento para o ano fiscal de 2027, que aponta possíveis violações a normas internacionais de proteção ao trabalho e aos direitos humanos.",2026-05-07T17:49
2623140,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623140,PL,139,2265,2026,"Institui a Política Nacional de Interoperabilidade de Dados da Administração Pública (PNID), cria a Infraestrutura Nacional de Intercâmbio de Dados (INID), estabelece o princípio Once Only para serviços públicos, e dá outras providências.",2026-05-07T17:47
2623139,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623139,REQ,686,28,2026,"Requer a realização de Seminário, em Sergipe, no âmbito   desta Comissão, destinado a debater a fragilização da cadeia de produção e distribuição de combustíveis no Brasil, os impactos sobre preços e abastecimento, e as alternativas de intervenção estatal no setor.",2026-05-07T17:42
2623138,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623138,RIC,148,1226,2026,Requer sejam solicitadas informações ao Sr. Ministro de Justiça e Segurança Pública quanto ao comércio ilegal de animais realizado na plataforma da Meta.,2026-05-07T17:23
2623137,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2623137,REQ,318,2724,2026,"Requer regime de urgência para apreciação do Projeto de Lei Complementar nº 185, de 2024.",2026-05-07T17:23
